trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
137,0,137,0,10,278.5443944,278.5443944,0.0465252,[0.35648148148148145],[0.462037037037037],[1],[0],[0],[2.663942700000007],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
138,0,138,0,5,281.233047,281.233047,0.0226093,[0.1787037037037037],[-0.31666666666666665],[1],[0],[0],[1.8547945000000254],[],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
139,0,139,0,5,283.1136569,283.1136569,0.0212454,[-0.25277777777777777],[-0.4666666666666667],[1],[0],[0],[1.7899059999999736],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
140,0,140,0,10,284.9615066,284.9615066,0.0462707,[-0.3314814814814815],[-0.42962962962962964],[1],[0],[0],[1.8627830999998878],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
141,0,141,0,5,286.8522838,286.8522838,0.0237785,[-0.032407407407407406],[0.1574074074074074],[1],[0],[0],[1.4536120000002484],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
142,0,142,0,10,288.3545038,288.3545038,0.0428485,[-0.4675925925925926],[0.44074074074074077],[1],[0],[0],[1.8002809999998135],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
143,0,143,0,10,290.2083409,290.2083409,0.0427625,[0.28425925925925927],[-0.21296296296296297],[1],[0],[0],[1.8022240000000238],[],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
144,0,144,0,5,292.0351209,292.0351209,0.0230304,[-0.11666666666666667],[-0.44074074074074077],[1],[0],[0],[1.6853803000003609],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
145,0,145,0,5,293.7475065,293.7475065,0.0214701,[-0.4388888888888889],[0.3611111111111111],[1],[0],[0],[1.8562559000001784],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
146,0,146,0,10,295.656127,295.656127,0.0447185,[0.3962962962962963],[0.12314814814814815],[1],[0],[0],[1.4815880000001016],['target'],75075,1,2022-09-21_15h19.57.535,Visual search sept 29'22,2022.2.3,60.04740142
