trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
118,0,118,0,10,191.8775449,191.8775449,0.0232084,[0.36944444444444446],[-0.09166666666666666],[1],[0],[0],[1.0367549000075087],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
119,0,119,0,5,192.9289726,192.9289726,0.0128938,[0.2],[-0.1935185185185185],[1],[0],[0],[1.1143287000013515],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
120,0,120,0,10,194.0726978,194.0726978,0.021572,[0.24351851851851852],[0.21666666666666667],[1],[0],[0],[1.6543129000347108],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
121,0,121,0,5,195.7411963,195.7411963,0.0128259,[0.03148148148148148],[0.21666666666666667],[1],[0],[0],[0.917879200016614],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
122,0,122,0,10,196.6852739,196.6852739,0.0189584,[-0.3527777777777778],[-0.17592592592592593],[1],[0],[0],[1.2756221999879926],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
123,0,123,0,5,197.9722054,197.9722054,0.0107688,[0.01574074074074074],[0.3592592592592593],[1],[0],[0],[1.0668139000190422],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
124,0,124,0,10,199.0623969,199.0623969,0.0186796,[-0.2962962962962963],[-0.3962962962962963],[1],[0],[0],[1.2772894999943674],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
125,0,125,0,10,200.3600327,200.3600327,0.0174871,[0.14351851851851852],[0.07962962962962963],[1],[0],[0],[0.8954582000151277],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
126,0,126,0,10,201.283799,201.283799,0.0226654,[0.32222222222222224],[0.36666666666666664],[1],[0],[0],[0.9715134999714792],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
127,0,127,0,10,202.279369,202.279369,0.0193266,[-0.49907407407407406],[-0.13703703703703704],[1],[0],[0],[1.7094628000049852],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
128,0,128,0,10,204.0176543,204.0176543,0.021738,[0.34444444444444444],[-0.36018518518518516],[1],[0],[0],[1.7527553000254557],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
129,0,129,0,10,205.7961382,205.7961382,0.0225375,[-0.33425925925925926],[-0.2111111111111111],[1],[0],[0],[1.3539086999953724],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
130,0,130,0,5,207.1694647,207.1694647,0.0140233,[0.33611111111111114],[-0.45555555555555555],[1],[0],[0],[2.3616252000210807],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
131,0,131,0,5,209.5490193,209.5490193,0.0148227,[-0.17407407407407408],[0.21388888888888888],[1],[0],[0],[1.96385169995483],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
132,0,132,0,10,211.5413461,211.5413461,0.0226885,[-0.4527777777777778],[-0.07407407407407407],[1],[0],[0],[1.2202802000101656],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
133,0,133,0,10,212.7914824,212.7914824,0.0203216,[-0.28425925925925927],[-0.07314814814814814],[1],[0],[0],[1.408131100004539],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
134,0,134,0,5,214.2175093,214.2175093,0.0178128,[0.3416666666666667],[-0.3972222222222222],[1],[0],[0],[1.7080625999951735],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
135,0,135,0,5,215.9365855,215.9365855,0.0089874,[0.3851851851851852],[0.25833333333333336],[1],[0],[0],[1.0875285000074655],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
136,0,136,0,10,217.0543432,217.0543432,0.0197686,[0.3490740740740741],[0.08796296296296297],[1],[0],[0],[1.0883922000066377],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
137,0,137,0,5,218.158817,218.158817,0.0140443,[-0.15],[-0.12685185185185185],[1],[0],[0],[1.0137371000018902],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
138,0,138,0,10,219.1995407,219.1995407,0.0192014,[0.40925925925925927],[0.06851851851851852],[1],[0],[0],[1.1753367999917828],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
139,0,139,0,10,220.3993104,220.3993104,0.0216726,[-0.4638888888888889],[0.09722222222222222],[1],[0],[0],[1.0231670999783091],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
140,0,140,0,5,221.4342834,221.4342834,0.0092198,[-0.37777777777777777],[-0.38055555555555554],[1],[0],[0],[1.2036236000130884],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
141,0,141,0,5,222.6512338,222.6512338,0.0123258,[-0.20462962962962963],[-0.40925925925925927],[1],[0],[0],[0.9681931000086479],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
142,0,142,0,5,223.6578707,223.6578707,0.0234365,[-0.05462962962962963],[-0.21296296296296297],[1],[0],[0],[1.1496355999843217],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
143,0,143,0,5,224.8351448,224.8351448,0.0240491,[-0.13518518518518519],[0.23055555555555557],[1],[0],[0],[1.0843630000017583],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
144,0,144,0,5,225.9286102,225.9286102,0.0091286,[0.175],[-0.05740740740740741],[1],[0],[0],[1.0876490999944508],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
145,0,145,0,10,227.0492977,227.0492977,0.0265436,[-0.17037037037037037],[-0.008333333333333333],[1],[0],[0],[1.1674588000169024],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
146,0,146,0,5,228.2316193,228.2316193,0.0122732,[0.075],[-0.38796296296296295],[1],[0],[0],[1.1323793000192381],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
147,0,147,0,10,229.3924516,229.3924516,0.0202477,[0.4425925925925926],[0.42962962962962964],[1],[0],[0],[1.3727506000432186],['target'],9962,1,2022-09-27_18h52.29.674,T5,2022.2.3,60.19360671
