trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
42,0,42,0,5,110.1986338,110.1986338,0.0221792,[-0.017592592592592594],[-0.42407407407407405],[1],[0],[0],[2.503635800000211],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
43,0,43,0,5,112.7337506,112.7337506,0.0226204,[0.03333333333333333],[-0.44537037037037036],[1],[0],[0],[1.6697818000002371],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
44,0,44,0,5,114.4294054,114.4294054,0.0216982,[-0.17592592592592593],[-0.3731481481481482],[1],[0],[0],[1.8562377000002925],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
45,0,45,0,5,116.3145504,116.3145504,0.0243078,[-0.046296296296296294],[-0.37962962962962965],[1],[0],[0],[3.1351684999999634],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
46,0,46,0,10,119.5099757,119.5099757,0.0464081,[0.21666666666666667],[0.4564814814814815],[1],[0],[0],[2.795634699999937],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
47,0,47,0,10,122.3575208,122.3575208,0.0475649,[0.25925925925925924],[-0.4648148148148148],[1],[0],[0],[2.6288453000001937],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
48,0,48,0,10,125.044021,125.044021,0.0492877,[-0.07777777777777778],[0.30092592592592593],[1],[0],[0],[1.7274363999999878],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
49,0,49,0,10,126.8204882,126.8204882,0.0442841,[-0.16574074074074074],[-0.29259259259259257],[1],[0],[0],[3.714593100000002],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
50,0,50,0,5,130.5634931,130.5634931,0.022961,[0.040740740740740744],[-0.38425925925925924],[1],[0],[0],[1.7869490999996742],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
51,0,51,0,10,132.4061358,132.4061358,0.0482538,[-0.37037037037037035],[-0.48703703703703705],[1],[0],[0],[3.6778446000002987],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
52,0,52,0,10,136.1342059,136.1342059,0.0452641,[0.46574074074074073],[0.2564814814814815],[1],[0],[0],[3.081784299999981],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
53,0,53,0,10,139.2666889,139.2666889,0.0445085,[-0.15185185185185185],[0.05925925925925926],[1],[0],[0],[1.5979463000003307],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
54,0,54,0,10,140.9139238,140.9139238,0.0401209,[-0.4888888888888889],[0.1925925925925926],[1],[0],[0],[1.5681930000000648],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
55,0,55,0,5,142.5123822,142.5123822,0.025547,[-0.37777777777777777],[0.4777777777777778],[1],[0],[0],[1.7155052000002797],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
56,0,56,0,5,144.2609642,144.2609642,0.0259573,[0.387037037037037],[0.041666666666666664],[1],[0],[0],[2.2654454999992595],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
57,0,57,0,5,146.5568007,146.5568007,0.0248034,[-0.10277777777777777],[0.19907407407407407],[1],[0],[0],[1.3366691999999603],['target'],994909,1,2022-09-21_15h40.34.126,Visual search sept 29'22,2022.2.3,59.9599108
